id,business_name,sector,lga,annual_revenue,employee_count,registered
808,Coleman Ltd,Tech,Epe,243793975,466,True
809,"Hansen, Green and Cherry",Retail,Ikorodu,395171720,326,False
810,Edwards-Wilkinson,Tech,Mushin,295580550,341,True
811,Stevens-Cook,Real Estate,Ikeja,470265628,47,False
812,Boyer-Wells,Tech,Victoria Island,150752648,460,True
813,House-Scott,Real Estate,Lekki,31728792,292,True
814,Jones LLC,Manufacturing,Victoria Island,485305178,91,False
815,Gonzalez-Lewis,Tech,Epe,270967720,365,False
816,"Cameron, May and Lopez",Finance,Lekki,42007200,406,True
817,Ruiz-Jimenez,Manufacturing,Ikorodu,154918601,192,False
818,Hill PLC,Manufacturing,Somolu,35794728,200,True
819,Jacobson Group,Finance,Ikorodu,127634586,464,True
820,Rodriguez Inc,Retail,Ifako-Ijaiye,246726595,480,False
821,Proctor PLC,Real Estate,Badagry,201395571,456,False
822,Thomas and Sons,Tech,Alimosho,240191450,372,True
823,Torres LLC,Real Estate,Eti-Osa,287670645,384,False
824,"Richardson, Barnes and Johnson",Retail,Apapa,429998667,192,False
825,"Edwards, Hernandez and Williams",Real Estate,Badagry,37941751,320,True
826,Terry Inc,Retail,Shomolu,378529737,31,False
827,Mendoza-Alvarado,Retail,Somolu,248619057,7,True
828,"Evans, Hill and Robbins",Manufacturing,Badagry,380466391,347,True
829,"Carroll, Navarro and Zavala",Tech,Epe,216192827,222,True
830,Porter-Summers,Manufacturing,Ikeja,394663550,496,False
831,Ward Group,Finance,Ikeja,376347440,115,False
832,Gates-Leonard,Tech,Kosofe,479155109,67,False
833,Douglas-Shaw,Manufacturing,Apapa,388542180,120,True
834,Blevins Inc,Real Estate,Lekki,328647127,288,True
835,Scott-Blackburn,Real Estate,Epe,130711929,216,True
836,Walton-Dodson,Real Estate,Apapa,412070762,342,True
837,Page-Patton,Manufacturing,Shomolu,487085620,315,True
838,Deleon-Montgomery,Real Estate,Alimosho,202949667,294,True
839,Cook-Chan,Real Estate,Epe,42087049,227,True
840,Walker and Sons,Manufacturing,Yaba,142551789,274,True
841,Maldonado-Trevino,Manufacturing,Somolu,495388207,399,True
842,Ray-Gallegos,Retail,Epe,365687007,78,False
843,"Hatfield, Castaneda and Hodge",Tech,Apapa,444874692,473,True
844,Allen-Ramsey,Tech,Somolu,209948584,441,False
845,"Horton, Brewer and Sheppard",Real Estate,Apapa,327594569,27,True
846,Hampton-Harris,Real Estate,Mushin,238439133,328,True
847,"Humphrey, Rivera and Davis",Finance,Somolu,105913460,314,False
848,"White, Boyd and Arnold",Manufacturing,Lekki,130409688,435,True
849,Mcdaniel PLC,Manufacturing,Badagry,221409064,191,False
850,Sanders-Walker,Retail,Lekki,487776735,75,True
851,Robinson PLC,Real Estate,Ifako-Ijaiye,57311815,183,False
852,Dennis-Howard,Real Estate,Alimosho,222039674,126,True
853,Meyer-Cooper,Tech,Lekki,203685371,292,True
854,"Jones, Bridges and Morgan",Manufacturing,Ikorodu,165521020,235,True
855,Norman Ltd,Real Estate,Victoria Island,355581586,285,True
856,Nguyen Inc,Real Estate,Shomolu,114563314,342,False
857,Blake-Delacruz,Tech,Mushin,333104348,398,False
858,Hernandez PLC,Retail,Apapa,428915309,10,True
859,"Harris, Santos and Miller",Tech,Somolu,233383167,226,True
860,Mack-Weiss,Manufacturing,Apapa,473339745,51,True
861,"Hebert, Briggs and Cook",Manufacturing,Oshodi-Isolo,497832319,489,True
862,"Scott, Lewis and Alexander",Finance,Epe,18094519,433,False
863,"Hall, Daniels and Brown",Retail,Epe,32696515,389,False
864,Garcia and Sons,Manufacturing,Eti-Osa,358113224,308,False
865,Lutz-Farmer,Manufacturing,Agege,253290787,455,True
866,Oconnell and Sons,Manufacturing,Amuwo-Odofin,140274616,372,True
867,Smith PLC,Retail,Surulere,381951215,419,True
868,"Baker, Gonzalez and Bernard",Finance,Amuwo-Odofin,100292530,416,False
869,Adams-Patel,Real Estate,Alimosho,458849818,28,True
870,"Lewis, Olson and Taylor",Real Estate,Yaba,109391521,484,True
871,"Castro, Harris and Barker",Real Estate,Eti-Osa,415925212,179,True
872,Martin-Newton,Real Estate,Ifako-Ijaiye,48228799,409,False
873,Williams and Sons,Manufacturing,Eti-Osa,66045723,152,True
874,"Mathis, Coleman and Fleming",Real Estate,Kosofe,396031430,200,True
875,Jackson Ltd,Manufacturing,Ajah,214735779,266,True
876,Molina-Williams,Tech,Victoria Island,72891343,497,True
877,Walker-Brown,Tech,Kosofe,65672112,347,False
878,White LLC,Tech,Epe,314655485,126,True
879,Brown-Zhang,Manufacturing,Ifako-Ijaiye,162714416,472,False
880,"Cline, Fox and Perez",Tech,Shomolu,410416062,191,True
881,Stevens Inc,Manufacturing,Surulere,404105751,379,True
882,"Shaw, Parrish and Rice",Retail,Agege,288045010,55,True
883,Little PLC,Finance,Kosofe,446071118,433,False
884,"Martinez, Richards and Chambers",Real Estate,Surulere,88428073,193,False
885,"Johnson, Mendez and Baker",Retail,Alimosho,450047644,77,True
886,Goodwin Inc,Tech,Apapa,426384166,140,False
887,Vargas Inc,Finance,Epe,354026492,143,True
888,Wood-Byrd,Finance,Apapa,443076898,80,False
889,Lopez Inc,Finance,Mushin,82770279,5,False
890,Mitchell-Riley,Real Estate,Agege,497509080,71,True
891,Elliott and Sons,Tech,Mushin,25915944,487,True
892,"Patterson, Valencia and Wiley",Finance,Badagry,305880299,411,True
893,"Lamb, Lane and Martinez",Manufacturing,Ajah,244237554,18,True
894,Ramirez-Peterson,Tech,Oshodi-Isolo,7987031,455,False
895,Williamson and Sons,Real Estate,Victoria Island,282335733,323,True
896,Stone-Smith,Retail,Badagry,157887101,232,False
897,Washington-Villa,Retail,Mushin,151625309,491,True
898,"Reese, Harrison and Browning",Tech,Surulere,198906159,303,True
899,Smith and Sons,Manufacturing,Kosofe,276548447,201,True
900,"Marshall, Tran and Scott",Retail,Eti-Osa,267016073,227,False
901,"Strickland, Lane and Allen",Finance,Surulere,20865348,345,False
902,Reed Ltd,Retail,Badagry,188425606,274,True
903,"Ramirez, Ross and Green",Finance,Ikeja,387987020,99,False
904,Landry-Wilson,Retail,Epe,437810427,56,False
905,Hernandez PLC,Finance,Oshodi-Isolo,17240916,198,False
906,"Murray, Davis and Stephens",Manufacturing,Amuwo-Odofin,350589677,432,True
907,"Escobar, Miller and Wilson",Retail,Surulere,83866133,313,True
908,Black Inc,Real Estate,Ikeja,421870736,191,True
909,Pollard-Mathis,Manufacturing,Yaba,273898874,111,False
910,"Jimenez, Hartman and Gaines",Finance,Mushin,49271301,313,False
911,Mclean PLC,Manufacturing,Kosofe,164026746,127,True
912,Wright-Reed,Tech,Yaba,217447768,404,True
913,Barry LLC,Real Estate,Oshodi-Isolo,243060326,479,True
914,Robertson-Ward,Retail,Amuwo-Odofin,433387486,485,True
915,Powell Group,Manufacturing,Agege,24985751,252,True
916,Kim Ltd,Real Estate,Badagry,496033465,81,False
917,"Andrade, Alvarado and Buchanan",Tech,Eti-Osa,9976648,139,True
918,Avila-Walker,Tech,Ikeja,405270299,246,True
919,Whitehead Ltd,Retail,Surulere,379904866,423,True
920,"Jones, Jarvis and Cain",Real Estate,Amuwo-Odofin,250543117,286,True
921,"Wagner, Key and Franklin",Manufacturing,Agege,225565326,291,True
922,"Sandoval, Dean and Vaughn",Manufacturing,Alimosho,437175614,315,True
923,Mcgee-Chambers,Finance,Somolu,235480328,422,False
924,"Owen, Clark and Velazquez",Retail,Agege,52688720,312,True
925,Johnson Inc,Finance,Ajah,335034342,76,False
926,"Lyons, Montgomery and Webb",Retail,Kosofe,58491965,398,False
927,James Ltd,Retail,Yaba,331977868,41,False
928,"Rodriguez, Fletcher and Hughes",Retail,Agege,118417868,326,True
929,George-Gibson,Manufacturing,Somolu,106956525,144,False
930,"Brock, Grant and Harris",Tech,Ajah,196882339,69,True
931,"Alvarez, Evans and Martinez",Manufacturing,Agege,484954535,170,False
932,"Ray, Stewart and Cortez",Tech,Shomolu,186711963,53,False
933,Young PLC,Retail,Yaba,184622293,188,False
934,Hill-Mccullough,Manufacturing,Surulere,438562600,446,False
935,Vasquez-Johnson,Tech,Somolu,255659412,68,True
936,Powell Ltd,Real Estate,Victoria Island,181286613,274,False
937,"Reyes, Martin and Ryan",Tech,Yaba,283423634,139,True
938,Nelson Group,Real Estate,Shomolu,304311265,80,True
939,Tucker-Castillo,Real Estate,Mushin,271116080,190,False
940,Cook-James,Manufacturing,Shomolu,45036276,278,True
941,Foster LLC,Manufacturing,Epe,324913196,255,False
942,Sampson-Lin,Retail,Alimosho,306754140,123,False
943,Schwartz-Ward,Real Estate,Victoria Island,100308291,329,False
944,Curry-Stanley,Real Estate,Agege,11506190,319,False
945,Wright-Martinez,Real Estate,Ikorodu,39251769,370,True
946,Benton-Johnson,Tech,Agege,213915985,431,True
947,Hall and Sons,Real Estate,Mushin,462134217,8,True
948,Gross and Sons,Finance,Alimosho,250502445,368,False
949,"Patel, Kelley and Walker",Tech,Oshodi-Isolo,281971520,187,True
950,"Saunders, Mitchell and Jones",Real Estate,Somolu,16428375,369,True
951,"Rivera, Stewart and Wilson",Retail,Ikorodu,312768143,115,True
952,Reese-Chandler,Tech,Shomolu,130847028,434,True
953,Lewis-Davis,Retail,Ifako-Ijaiye,9909143,232,False
954,Smith PLC,Finance,Ajah,65051789,66,False
955,Frey-Atkins,Finance,Apapa,258627345,113,False
956,"Boyd, Werner and Russell",Retail,Somolu,146298298,343,False
957,Phillips and Sons,Retail,Mushin,143303764,225,True
958,"Rivera, Taylor and Flowers",Retail,Epe,215762266,252,True
959,Harris Ltd,Manufacturing,Eti-Osa,161756102,60,True
960,Salazar-Mcguire,Retail,Victoria Island,129186006,170,False
961,"Hood, Chung and Clark",Tech,Ikorodu,245486315,301,True
962,Hernandez-Mckee,Retail,Ajah,121763331,450,False
963,"Silva, Johnson and Whitaker",Tech,Alimosho,191301225,257,True
964,Reed Group,Manufacturing,Oshodi-Isolo,105944371,173,False
965,Ramirez PLC,Real Estate,Ajah,428093466,45,True
966,Baker PLC,Retail,Amuwo-Odofin,66091988,390,True
967,Patterson Ltd,Tech,Mushin,498792060,136,True
968,Pitts Inc,Finance,Yaba,472181661,437,True
969,Murphy PLC,Real Estate,Kosofe,198060273,471,True
970,"Cowan, Weber and Wilson",Real Estate,Ikorodu,104780195,236,False
971,Chavez-Hanson,Retail,Ikorodu,333402172,452,False
972,Potter-Cruz,Real Estate,Oshodi-Isolo,110065171,328,True
973,"Wright, May and Le",Finance,Ikeja,134651496,339,True
974,"Allison, Stewart and Fisher",Real Estate,Ikeja,38187248,101,True
975,Barton-Horton,Finance,Ikeja,242353424,390,True
976,"Mcclain, Campbell and Jones",Tech,Epe,96772192,251,True
977,Collins Inc,Retail,Amuwo-Odofin,278086064,364,True
978,Miller Group,Real Estate,Oshodi-Isolo,433010423,152,True
979,Guerrero PLC,Tech,Alimosho,321879870,339,True
980,"Hawkins, Bean and James",Retail,Agege,283842412,144,True
981,Bray-Stevens,Real Estate,Apapa,357372307,342,False
982,"Malone, Rodgers and Robbins",Real Estate,Yaba,322273093,314,True
983,Weaver and Sons,Finance,Alimosho,203118689,240,False
984,Jenkins and Sons,Retail,Ajah,368257511,457,True
985,Willis-Garcia,Finance,Ikeja,144327453,402,False
986,Martinez Ltd,Retail,Agege,338440116,346,True
987,Wright-Walls,Finance,Badagry,137634930,151,False
988,Lopez LLC,Real Estate,Epe,292643746,209,False
989,Nelson-Warner,Retail,Lekki,460842784,223,False
990,"Miller, Lucero and Miller",Retail,Ikorodu,30600788,165,False
991,"Morgan, Herman and Kramer",Tech,Amuwo-Odofin,272520233,165,True
992,Williams Group,Real Estate,Agege,499545006,38,False
993,Turner-Green,Tech,Agege,449865179,431,False
994,Hernandez-Martin,Real Estate,Amuwo-Odofin,370089488,444,True
995,"Neal, Harrison and Gibson",Retail,Somolu,214019259,237,True
996,"Zimmerman, Davis and Crawford",Real Estate,Alimosho,81520750,158,False
997,"Estes, Hernandez and Moore",Manufacturing,Victoria Island,484489341,417,True
998,"Hopkins, James and Banks",Retail,Ajah,259233598,277,False
999,Chavez and Sons,Finance,Oshodi-Isolo,280864583,443,False
1000,"Walters, Keller and Gonzalez",Retail,Ikeja,187195249,164,True
1001,Mcclain-Hines,Manufacturing,Agege,267574187,132,True
1002,Henson-Rose,Finance,Somolu,178811112,250,False
1003,Hunter-Mcgee,Real Estate,Lekki,455062098,19,False
1004,Harding LLC,Retail,Mushin,202686579,24,False
1005,Franklin Inc,Manufacturing,Surulere,22992644,388,False
1006,Herrera-Marquez,Retail,Agege,224737961,107,True
1007,Gibbs and Sons,Finance,Yaba,411636238,278,False
1008,"Brown, Gonzales and Walker",Real Estate,Agege,160957582,496,False
1009,Williams and Sons,Finance,Ikorodu,81586637,208,False
1010,Bryant-Anderson,Finance,Ikeja,270788618,47,True
1011,Ray Inc,Manufacturing,Agege,18825479,293,False
1012,"Hudson, Armstrong and Edwards",Manufacturing,Alimosho,145597068,173,False
1013,"Woods, Burke and Howell",Retail,Victoria Island,402160323,24,True
1014,Jones LLC,Finance,Amuwo-Odofin,366288508,461,True
1015,"White, Crane and Stout",Real Estate,Oshodi-Isolo,256115389,187,False
1016,"Roberts, Singh and Cummings",Tech,Victoria Island,372702500,242,False
1017,Gonzalez-Smith,Manufacturing,Yaba,14248476,260,False
1018,"Gibbs, Trevino and Carter",Retail,Surulere,136017384,341,True
1019,Williams and Sons,Retail,Ikorodu,189183071,56,False
1020,King Ltd,Retail,Shomolu,399575304,326,False
1021,"Shaffer, Brown and Barnett",Tech,Apapa,403242603,485,True
1022,Potter-Wiley,Tech,Badagry,418346291,308,False
1023,Moore and Sons,Retail,Kosofe,25451639,18,False
1024,Salazar Ltd,Manufacturing,Mushin,252847226,433,False
1025,Wright-Jones,Real Estate,Apapa,65221814,333,False
1026,Liu Inc,Finance,Victoria Island,367156272,19,False
1027,Camacho LLC,Real Estate,Yaba,152140174,80,True
1028,"Sullivan, Jordan and Holmes",Finance,Lekki,487268764,201,True
1029,Short-Perry,Manufacturing,Victoria Island,220833750,97,True
1030,Smith-Campbell,Tech,Badagry,476464202,293,False
1031,"Bullock, Rowland and Moss",Finance,Ajah,354292058,329,False
1032,Reyes-Scott,Real Estate,Apapa,190208712,243,False
1033,"Barry, Bennett and Lopez",Real Estate,Ifako-Ijaiye,462606016,367,False
1034,"Lam, Craig and Bryan",Real Estate,Ikorodu,469433769,433,True
1035,Roberson PLC,Real Estate,Somolu,429505253,207,True
1036,"Green, Johnson and Smith",Retail,Apapa,428635730,289,True
1037,Moon Inc,Retail,Ajah,426161826,107,False
1038,Diaz-Moore,Tech,Lekki,5630071,234,False
1039,Miller Group,Manufacturing,Agege,26811295,141,False
1040,Lowe LLC,Finance,Agege,372568948,37,True
1041,"Davis, Martin and Juarez",Real Estate,Victoria Island,167702280,356,True
1042,Strong-Allison,Manufacturing,Kosofe,121769633,106,False
1043,Vaughn-Nelson,Real Estate,Ifako-Ijaiye,153963623,136,True
1044,Wolfe-Williams,Finance,Oshodi-Isolo,249063954,198,False
1045,"Martin, Stevens and Vance",Manufacturing,Mushin,361570441,43,True
1046,Griffin Group,Real Estate,Somolu,127936685,322,False
1047,"Case, Chase and Paul",Retail,Ikeja,162863248,396,True
1048,Neal Group,Finance,Yaba,355127800,419,True
1049,"Robertson, Rodriguez and Johnson",Finance,Ikeja,126917881,412,False
1050,Hudson Inc,Tech,Eti-Osa,403308155,405,False
1051,Schmidt PLC,Real Estate,Ajah,437799009,273,True
1052,Rogers LLC,Tech,Eti-Osa,372376114,212,False
1053,Reed-Wallace,Retail,Mushin,89661210,465,False
1054,"Heath, Armstrong and Martinez",Tech,Lekki,37404151,21,False
1055,Freeman LLC,Manufacturing,Surulere,282593107,404,False
1056,Morris Ltd,Finance,Amuwo-Odofin,449437697,169,True
1057,Mcmahon-Hendrix,Tech,Ikeja,438269586,116,True
1058,Lawrence-Taylor,Finance,Epe,411492268,411,True
1059,Velasquez LLC,Finance,Ajah,307136694,359,False
1060,Davis Inc,Retail,Mushin,379190158,123,True
1061,Cruz Group,Finance,Kosofe,20330934,92,True
1062,Frye LLC,Real Estate,Kosofe,215231445,382,False
1063,"Hall, Ferguson and Williams",Real Estate,Agege,419808492,67,True
1064,Nelson Inc,Manufacturing,Eti-Osa,145173699,301,True
1065,"Smith, Smith and Williams",Real Estate,Ifako-Ijaiye,474124604,198,False
1066,Murphy LLC,Finance,Eti-Osa,194860854,117,False
1067,"Waller, Snyder and Smith",Retail,Yaba,288745330,89,True
1068,Morris PLC,Retail,Apapa,420411030,448,False
1069,"Gonzales, Campbell and Reed",Manufacturing,Alimosho,354301902,382,True
1070,Murphy PLC,Tech,Apapa,342150474,357,True
1071,Fischer-Schwartz,Retail,Yaba,192761397,64,False
1072,"Walker, Mason and Jones",Manufacturing,Somolu,10228534,270,False
1073,Nelson-Curry,Tech,Shomolu,38282894,325,True
1074,"Richmond, Webster and Jordan",Retail,Ikorodu,8597065,402,False
1075,Sweeney-Hunter,Manufacturing,Victoria Island,271257184,29,True
1076,Lee Group,Retail,Ifako-Ijaiye,450731171,475,False
1077,Hopkins-Hernandez,Finance,Agege,141292719,148,True
1078,Nelson Ltd,Retail,Alimosho,74570751,79,False
1079,"Shaw, Kaufman and Peters",Tech,Surulere,443740930,42,True
1080,Thomas-Rojas,Tech,Ikorodu,402659622,483,False
1081,Weaver-Hernandez,Retail,Somolu,76963059,178,True
1082,Dominguez Ltd,Retail,Ikorodu,498165202,17,False
1083,Gibson Group,Retail,Mushin,325224115,166,True
1084,Warren-Johnson,Tech,Mushin,417249115,87,True
1085,"Davis, Maldonado and Nielsen",Retail,Mushin,136492231,97,True
1086,"Buck, Casey and Ross",Manufacturing,Badagry,486890707,331,True
1087,Steele Inc,Tech,Apapa,345427839,343,False
1088,Brown-Miller,Tech,Amuwo-Odofin,362797428,343,True
1089,Coleman and Sons,Finance,Epe,352992449,229,True
1090,"Gray, Lee and Gutierrez",Retail,Amuwo-Odofin,347053577,195,True
1091,Ross-Hoffman,Retail,Victoria Island,109460626,247,True
1092,Moore-Dyer,Manufacturing,Amuwo-Odofin,228613986,321,True
1093,"Rodriguez, Adams and Davies",Real Estate,Mushin,80271321,281,False
1094,Watson-Patterson,Manufacturing,Yaba,254925044,55,False
1095,"Ford, Bray and Reyes",Retail,Lekki,279909177,208,False
1096,Frye-Ross,Tech,Ifako-Ijaiye,194046281,304,False
1097,Bailey-Ray,Finance,Shomolu,224064677,185,True
1098,Perry and Sons,Real Estate,Surulere,156954400,151,True
1099,"Stokes, Cruz and Turner",Retail,Surulere,113661821,432,False
1100,Crane Inc,Tech,Ikeja,191115452,210,True
1101,"Kane, Brewer and Savage",Tech,Oshodi-Isolo,239952798,153,True
1102,"Ramirez, Vargas and Stephens",Finance,Ifako-Ijaiye,499124523,13,False
1103,"Porter, Cooper and George",Manufacturing,Somolu,54114997,227,True
1104,Rivera LLC,Real Estate,Agege,444289401,57,True
1105,"Oliver, Shelton and Rojas",Manufacturing,Oshodi-Isolo,180281590,117,True
1106,Nguyen-Thompson,Manufacturing,Kosofe,280806175,460,True
1107,Allen Inc,Real Estate,Amuwo-Odofin,212885300,406,False
1108,Ramirez-Maldonado,Tech,Ajah,263285837,335,True
1109,"Taylor, Hernandez and Hill",Retail,Apapa,257211201,61,True
1110,Becker Ltd,Manufacturing,Lekki,369208365,96,False
1111,"Pugh, Wagner and Burton",Retail,Mushin,13377453,472,True
1112,"Kelly, Wheeler and Zuniga",Tech,Somolu,474874165,7,True
1113,Rhodes-Pineda,Real Estate,Epe,221516695,262,True
1114,"Richardson, Hunt and Hartman",Manufacturing,Ikorodu,400419428,305,True
1115,"Moore, Day and Quinn",Tech,Kosofe,64659441,174,True
1116,"Ward, Hendrix and Torres",Finance,Ajah,165471185,467,True
1117,Bryan and Sons,Tech,Mushin,60780497,391,True
1118,Smith LLC,Finance,Shomolu,44858031,103,False
1119,"Williamson, Whitehead and Brown",Real Estate,Kosofe,402051415,239,True
1120,"Harris, Thompson and Webb",Tech,Lekki,286995298,247,True
1121,Jones-Russell,Manufacturing,Agege,323560662,339,True
1122,"Rivers, Richards and Ward",Real Estate,Surulere,43505906,138,False
1123,"Jones, Gardner and Mcknight",Finance,Epe,425045301,164,True
1124,"Fowler, Barnes and Miller",Tech,Somolu,456945196,321,False
1125,"Wilkinson, Montgomery and Nash",Retail,Agege,334801447,133,False
1126,Hobbs LLC,Finance,Badagry,382783287,220,False
1127,Richards Ltd,Real Estate,Somolu,379924836,266,False
1128,Vang Inc,Real Estate,Badagry,197497546,45,True
1129,"Farrell, Mercer and Harmon",Manufacturing,Epe,312003967,169,False
1130,Wade-Blake,Real Estate,Yaba,323902580,151,False
1131,Middleton Inc,Finance,Epe,153562174,384,True
1132,Benitez Ltd,Tech,Ajah,432886033,440,True
1133,Turner-Martin,Manufacturing,Badagry,201462325,322,False
1134,Williams-Love,Finance,Eti-Osa,469431827,477,True
1135,Lewis PLC,Finance,Eti-Osa,36225103,251,True
1136,Crawford and Sons,Retail,Somolu,292627314,326,False
1137,"Zimmerman, Zavala and Murray",Finance,Badagry,161559275,398,False
1138,Phillips PLC,Real Estate,Oshodi-Isolo,314965799,453,True
1139,Adams-Miller,Finance,Ajah,62088052,334,False
1140,Brown Inc,Real Estate,Ajah,170996350,215,True
1141,"Fuentes, Chambers and Everett",Finance,Agege,436870194,417,False
1142,"Gallegos, Smith and Ali",Retail,Amuwo-Odofin,200905729,81,False
1143,Schaefer-Owens,Manufacturing,Agege,376910997,428,False
1144,Anderson Group,Finance,Amuwo-Odofin,425562361,453,False
1145,Martinez Ltd,Retail,Ajah,432474430,103,False
1146,"Robinson, Daniels and Romero",Real Estate,Amuwo-Odofin,383337998,488,True
1147,Torres-Patton,Manufacturing,Ikeja,332311852,74,True
1148,"Tyler, Alexander and Jimenez",Finance,Apapa,119199129,290,False
1149,"Mendez, Hart and Delgado",Tech,Yaba,182515654,121,False
1150,Medina Inc,Retail,Surulere,235208937,294,True
1151,Garrett and Sons,Tech,Lekki,342342803,123,True
1152,Mills-Jones,Tech,Shomolu,420856353,478,True
1153,Lee-Bradley,Tech,Yaba,402919632,215,False
1154,Parks and Sons,Manufacturing,Eti-Osa,12681260,259,False
1155,Morales LLC,Manufacturing,Ifako-Ijaiye,107110051,219,True
1156,"Guerrero, Campbell and Moore",Real Estate,Badagry,211502389,468,True
1157,Mills-Holland,Finance,Victoria Island,11184809,340,False
1158,"Parks, Massey and Powell",Retail,Yaba,142339482,371,False
1159,Ferrell-Krueger,Real Estate,Alimosho,100753023,314,False
1160,"Brown, Chung and Jackson",Tech,Ikeja,334527621,477,False
1161,"Lee, Ross and Zuniga",Retail,Yaba,295646570,80,True
1162,"Cochran, Wong and Khan",Tech,Victoria Island,290197831,108,True
1163,Cline LLC,Retail,Somolu,412704340,472,True
1164,Estes Group,Retail,Agege,213028344,295,False
1165,Harrison LLC,Real Estate,Alimosho,181315672,23,True
1166,Horne-Brown,Finance,Apapa,399029860,259,False
1167,Johnson-Adams,Retail,Victoria Island,483329618,262,False
1168,"Conrad, Morgan and Washington",Finance,Amuwo-Odofin,302350488,463,False
1169,Porter-Gomez,Real Estate,Alimosho,495187968,21,False
1170,Rodriguez PLC,Retail,Somolu,244303298,83,True
1171,Cox-Baker,Finance,Epe,456958513,44,False
1172,"Andrews, Wright and Lee",Real Estate,Amuwo-Odofin,479844906,37,False
1173,Anderson-Caldwell,Retail,Yaba,56549062,165,True
1174,Smith-Allen,Manufacturing,Eti-Osa,359108853,190,True
1175,Fritz LLC,Tech,Ifako-Ijaiye,101673493,411,True
1176,Mitchell and Sons,Retail,Agege,96093121,361,False
1177,Gallagher-Reyes,Finance,Oshodi-Isolo,339158667,309,False
1178,Marquez Ltd,Tech,Ifako-Ijaiye,358723082,357,True
1179,Miller and Sons,Manufacturing,Ajah,379065723,461,True
1180,Nguyen and Sons,Manufacturing,Ifako-Ijaiye,179756624,290,True
1181,Miller LLC,Manufacturing,Amuwo-Odofin,250677033,213,True
1182,Graves Inc,Manufacturing,Alimosho,247353904,109,True
1183,Reed PLC,Tech,Apapa,21117957,206,True
1184,"Reyes, Patterson and Roberts",Real Estate,Kosofe,367945536,245,True
1185,Merritt-Leonard,Finance,Kosofe,155385822,198,False
1186,Kelley LLC,Finance,Ifako-Ijaiye,8954067,117,False
1187,Huffman PLC,Finance,Ikorodu,346723016,458,False
1188,Mendoza-Andersen,Tech,Lekki,303554650,26,True
1189,"Olson, Macias and Espinoza",Retail,Mushin,382396074,446,True
1190,Williams and Sons,Real Estate,Yaba,472268550,310,False
1191,Mcneil-Weeks,Retail,Alimosho,442232791,179,False
1192,Adkins-Wang,Manufacturing,Alimosho,286820720,361,False
1193,Larson-Vazquez,Tech,Yaba,13866946,92,False
1194,Oliver PLC,Manufacturing,Apapa,75465739,464,False
1195,Cole-Gomez,Retail,Eti-Osa,206263654,212,False
1196,"Wagner, Sawyer and Brown",Finance,Ikeja,386771149,53,False
1197,Bryant Group,Finance,Badagry,42773513,160,False
1198,"Huynh, Sandoval and Howard",Real Estate,Alimosho,141037220,271,False
1199,Alexander-Smith,Retail,Ikeja,421795575,118,False
1200,Allen-Allen,Manufacturing,Oshodi-Isolo,37771085,187,True
1201,"Solis, Cowan and Cobb",Finance,Agege,437177684,363,False
1202,Chambers-Chavez,Tech,Victoria Island,427854432,175,False
1203,James-Long,Real Estate,Victoria Island,278056909,305,False
1204,Gray-Huang,Tech,Amuwo-Odofin,436259253,79,True
1205,Brown and Sons,Finance,Alimosho,73412949,66,True
1206,Garcia Group,Real Estate,Mushin,487109254,280,False
1207,Miller Inc,Real Estate,Oshodi-Isolo,249765402,402,True
1208,Fuentes LLC,Finance,Agege,168039155,364,False
1209,Reed Group,Real Estate,Agege,497518317,213,True
1210,"Wilcox, Nixon and Allen",Real Estate,Kosofe,28376708,81,False
1211,Cabrera-Cook,Finance,Shomolu,180075899,311,True
1212,Scott PLC,Real Estate,Mushin,346612891,496,False
1213,Edwards-Walls,Finance,Badagry,27198036,484,True
1214,Stewart-Mendez,Real Estate,Yaba,69539345,491,False
1215,Boone Group,Tech,Somolu,417935189,447,True
1216,David-Miller,Tech,Badagry,473693962,84,True
1217,Crosby-Thornton,Retail,Eti-Osa,363945291,97,False
1218,"Cummings, Mcgrath and Sellers",Retail,Amuwo-Odofin,241627005,479,False
1219,"Snow, Molina and Cruz",Tech,Alimosho,394639302,6,True
1220,"Brown, Johnston and Lowe",Retail,Agege,347678259,159,False
1221,Patterson Ltd,Retail,Oshodi-Isolo,284293284,470,True
1222,Griffin-Robbins,Tech,Shomolu,350798665,439,False
1223,Jones LLC,Manufacturing,Somolu,25450302,280,False
1224,Rosario PLC,Retail,Mushin,52154751,104,False
1225,Parsons and Sons,Tech,Eti-Osa,143582760,102,True
1226,Barnett-Watson,Real Estate,Shomolu,253090179,56,False
1227,"Grant, Aguilar and Hampton",Finance,Alimosho,448605031,205,False
1228,Hawkins-Houston,Manufacturing,Lekki,339798460,266,True
1229,Alexander Group,Retail,Alimosho,26083263,177,True
1230,"Taylor, Armstrong and Rowland",Manufacturing,Eti-Osa,128823243,421,False
1231,Romero-Hicks,Retail,Lekki,221960177,292,True
1232,"Ritter, Marshall and Armstrong",Tech,Lekki,449981928,29,False
1233,Jenkins-Black,Retail,Lekki,144002638,199,False
1234,"Abbott, Burgess and Riley",Finance,Apapa,41489826,204,True
1235,"Fisher, Gilmore and Rose",Retail,Ikeja,281431126,426,False
1236,"Rodriguez, Bentley and Burgess",Real Estate,Kosofe,46095874,370,False
1237,"Burgess, Anderson and Pacheco",Finance,Badagry,209732597,417,False
1238,Gomez-Juarez,Tech,Ikorodu,161381310,310,False
